a;degC
0;240.7900103
0.008699778;240.0007506
0.017339555;239.729267
0.03461911;240.0299834
0.06917822;239.7413922
0.103737331;237.884605
0.172855551;230.2790649
0.311091992;214.1814393
0.587564873;191.0026913
0.864037755;174.8826719
1.416983518;154.7371204
1.969929281;142.7428669
3.075820807;133.238046
4.181712333;129.4310628
5.287603859;127.5641559
7.499386911;126.0526776
9.711169963;125.3682289
11.92295302;125.1019691
14.13473607;125.0626697
16.34651912;125.1366906
19.34651912;125.2708814
22.34651912;125.4124809
25.34651912;125.5478396
28.34651912;125.6685106
31.34651912;125.7700975
